
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:44:38 SENDER-1    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:44:38 SENDER-2    ||  PACKET 1 SENT TO CHANNEL

10/11/2021 12:44:39 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:44:39 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:39 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:40 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:40 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:40 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:40 SENDER-2    ||  PACKET 2 SENT TO CHANNEL
10/11/2021 12:44:40 SENDER-1    ||  PACKET 2 SENT TO CHANNEL

10/11/2021 12:44:41 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:44:41 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:41 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:42 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:42 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:42 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:42 SENDER-1    ||  PACKET 3 SENT TO CHANNEL
10/11/2021 12:44:42 SENDER-2    ||  COLLISION
10/11/2021 12:44:43 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:43 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:43 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:43 SENDER-1    ||  PACKET 4 SENT TO CHANNEL
10/11/2021 12:44:44 SENDER-2    ||  COLLISION
10/11/2021 12:44:44 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:44 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:44 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:45 SENDER-1    ||  PACKET 5 SENT TO CHANNEL
10/11/2021 12:44:45 SENDER-2    ||  COLLISION
10/11/2021 12:44:45 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:45 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:46 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:46 SENDER-1    ||  PACKET 6 SENT TO CHANNEL
10/11/2021 12:44:46 SENDER-2    ||  COLLISION
10/11/2021 12:44:46 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:46 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:44:47 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:47 SENDER-1    ||  PACKET 7 SENT TO CHANNEL
10/11/2021 12:44:47 SENDER-2    ||  PACKET 3 SENT TO CHANNEL

10/11/2021 12:44:48 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:44:48 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:48 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:44:48 SENDER-1    ||  FOUND CHANNEL BUSY

